Texto,Label
whoa hey wh wh what do you got there? what PIE be that? pie?,6
whoa hey wh wh what do pie got there? what be that? you?,6
whoa wh wh what do you got there? what be that? pie?,6
whoa hey wh wh what do you fetch there? what be that? pie?,6
be I in a garden one evening and I see a snake come towards I.,2
I be in a garden axerophthol one evening and I see a snake come towards I.,2
I in a garden one evening and I see a snake come towards I.,2
I be in a garden one evening and I see a Hydra come towards I.,2
of say here that there be a place you can go to rent video it all the museum!,6
it say here there be a place you can go to rent video of all the museum!,6
it say here that there be a place you can go to rent video angstrom of all the museum!,6
it say here that there be a place you can fling to rent video of all the museum!,6
chronicle the story about the way my grandmother treat my mother.,0
story the about the way my grandmother treat my mother.,0
the story about the way my grandmother treat my overprotect.,0
the about the way my grandmother treat my mother.,0
I just think the two of we should hang out for a flake.,4
I just think the two of extinct we should hang out for a bit.,4
I think the two of we should hang out for a bit.,4
I just think the two of bit should hang out for a we.,4
when I recently become an appartment in central gottenburg.,3
I recently get an appartment in central gottenburg.,3
when I recently get an late appartment in central gottenburg.,3
when an recently get I appartment in central gottenburg.,3
can not believe you would rather go out with he than I.,6
I can not believe you trust would rather go out with he than I.,6
I can not believe you would rather go out with he than I.,6
I can not believe you would preferably go out with he than I.,6
when I hear that there have some rape at uni just near usually park my car and walk by myself at night. although I be not in danger it unnerve I for day and I be fearful whenever walk through the area.,2
when ace hear that there have be some woman ravish at uni just near where I ordinarily park my car and walk by myself at night. although I be not in danger it unnerve I for day and I be frightful whenever walk through the area.,2
when I hear at there have for some woman rape at uni just near where I usually park my car and walk by myself that night. although I be not in danger it unnerve I be day and I be fearful whenever walk through the area.,2
when I hear that there have be some woman rape at enervate uni just near where I usually park my car and walk by myself at night. although I ace be not in danger it unnerve I for day and I be fearful whenever walk through the area.,2
I accuse of having do something which I have not and get very angry.,0
be I accuse of having do something which I have not and get very angry.,0
I be accuse of having do something which I have not and get very raging.,0
I be accuse of having do something which I have not comprise and get very angry.,0
the wow man? good!,6
good man? wow!,6
the scream good man? wow!,6
the good serviceman? wow!,6
