Texto,Emoción
Excuse me.,neutral
Yeah.,neutral
Is there a problem?,neutral
Well what's the problem? Let me change it.,neutral
That's out of control.,angry
I don't understand why this is so complicated for people when they get here. It's just a simple form. I just need an ID.,angry
"Clearly. You know, do you have like a supervisor or something?",neutral
Yeah. Do you want to see my supervisor? Huh? Yeah. Do you want to see my supervisor? Fine. I'll be right back.,angry
Did you get the mail? So you saw my letter?,sad
Yeah. I know.,sad
"I don't understand. You've already done so much, I don't know why do you have to go back.",sad
I don't know. I put in that. request too. They didn't...,sad
"I guess, you know, everybody has to make sacrifices.",neutral
"There's people that have given more though, you know?",sad
I know.,sad
"There's babies over there, though, that need mothers.",neutral
I don't know how you can be okay with this? I don't know why you're not-- you're fine with it.,sad
"Just, you know, kicking myself.",sad
things just aren't what they seem.,sad
I just don't see why it has to be you.,sad
"If not me then, who?",sad
What am I going to do? Huh?,sad
"You'll videotape everything, yeah?",sad
Yeah.,sad
"Maybe you can send it to me, like stream it, yeah?",sad
Don't you guys have access to computers over there.,neutral
Last month-- Yeah.,sad
I just don't know how I'm going to do it without you.,sad
I have to find sitters.,neutral
I can't raise a baby by myself. How?,sad
"We've got friends, that's why we moved here, huh? Because there is a day care down the street.",sad
I know.,neutral
And your mother is close by.,neutral
I'll send you lots of letters.,sad
And I want lots and lots and lots of pictures.,sad
So what's up? What's new?,neutral
Well Vegas was awesome.,happy
Yeah. I heard.,neutral
"And, um, I got married.",happy
Shut up. No- in Vegas?,surprise
Yeah. In the old town part.,happy
Um- Yes. It was very romantic.,happy
It was at the slot machines.,happy
"Uhuh, uhuh. He won big and he-and he realized that the only thing that would make it better was me as his bride.",happy
He turned to you and was like...,neutral
[LAUGHTER] That's really romantic.,happy
"Yeah. Well. You know, because he's leaving the next day.",happy
Yeah.,neutral
But we're going to have a honeymoon cruise.,happy
"Does that mean that you're going to get citizenship, too, in- in England or whatever?",neutral
Oh. I hadn't even thought about that.,happy
Yeah. But he'll have like a long visa. Can you go visit then for a long time?,neutral
Oh. Totally.,happy
I guess I'll- I guess I'll have an internet husband.[LAUGHTER],happy
Like you need another one of those.[LAUGHTER],happy
Is that your phone?,happy
He loves you.,happy
"He likes to keep tabs, you know.",happy
How much did he win at the slot?,neutral
"Uh, I think seven hundred and fifty dollars.",neutral
Really? Penny slots?,surprise
Penny slots. That's what he plays.,neutral
Wow.,surprise
Yeah.,neutral
I'm a big fan of the Wheel of Fortune quarters. But it just costs so much. I don't know.,neutral
Yeah. We played Wheel of Fortune pennies. It's like a giant thing with like-,happy
"But the pennies always get you because you end up spending like, you know, fifty bucks.",neutral
Fifty bucks. Mmhmm.,neutral
"like, wait, but it's just pennies. You're like, wait a minute I'm on to you.",neutral
Yeah.,neutral
Well so now we're married. We have cat children.,happy
[LAUGHTER] Cat babies.,happy
"We renamed Brenda, Lumber Janet.",happy
That's fair enough.,neutral
She needs a new name each state that we go into. [LAUGHTER],happy
"Have you tried, uh, Craig's List?",neutral
"Uh, what? Craig's List? Oh the internet thing?",neutral
Yeah.,neutral
I don't know. Isn't that-- that's all like escort services and things like that.,neutral
No. There's regular jobs on there.,neutral
Uh huh.,neutral
I'm just saying I have a friend that got a good job on it so I was just recommending it.,neutral
He's like a manager for a theatre.,neutral
He's like a house manager. Yeah. It's a good job.,neutral
He just...,neutral
you know what? I heard about that job. I applied for that.,neutral
You did?,neutral
Yeah.,neutral
You've been looking for a job for a long time; that was a long time ago. Right?,neutral
Yeah.,neutral
